Time(s),TidalVolume(mL)
0.04,421.605
0.08,421.605
0.12,421.605
0.16,421.605
0.2,421.605
0.24,421.605
0.28,421.605
0.32,421.605
0.36,421.605
0.4,421.605
0.44,421.605
0.48,421.605
0.52,421.605
0.56,421.605
0.6,421.605
0.64,421.605
0.68,421.605
0.72,421.605
0.76,421.605
0.8,421.605
0.84,421.605
0.88,421.605
0.92,421.605
0.96,421.605
1,421.605
1.04,421.605
1.08,421.605
1.12,421.605
1.16,421.605
1.2,421.605
1.24,421.605
1.28,421.605
1.32,421.605
1.36,421.605
1.4,421.605
1.44,421.605
1.48,421.605
1.52,421.605
1.56,421.605
1.6,421.605
1.64,421.605
1.68,421.605
1.72,421.605
1.76,421.605
1.8,421.605
1.84,421.605
1.88,421.605
1.92,421.605
1.96,421.605
2,421.605
2.04,421.605
2.08,421.605
2.12,421.605
2.16,421.605
2.2,421.605
2.24,421.605
2.28,421.605
2.32,421.605
2.36,421.605
2.4,421.605
2.44,421.605
2.48,421.605
2.52,421.605
2.56,421.605
2.6,421.605
2.64,421.605
2.68,421.605
2.72,421.605
2.76,421.605
2.8,421.605
2.84,421.605
2.88,421.605
2.92,421.605
2.96,421.605
3,421.704
3.04,421.704
3.08,421.704
3.12,421.704
3.16,421.704
3.2,421.704
3.24,421.704
3.28,421.704
3.32,421.704
3.36,421.704
3.4,421.704
3.44,421.704
3.48,421.704
3.52,421.704
3.56,421.704
3.6,421.704
3.64,421.704
3.68,421.704
3.72,421.704
3.76,421.704
3.8,421.704
3.84,421.704
3.88,421.704
3.92,421.704
3.96,421.704
4,421.704
4.04,421.704
4.08,421.704
4.12,421.704
4.16,421.704
4.2,421.704
4.24,421.704
4.28,421.704
4.32,421.704
4.36,421.704
4.4,421.704
4.44,421.704
4.48,421.704
4.52,421.704
4.56,421.704
4.6,421.704
4.64,421.704
4.68,421.704
4.72,421.704
4.76,421.704
4.8,421.704
4.84,421.704
4.88,421.704
4.92,421.704
4.96,421.704
5,421.704
5.04,421.704
5.08,421.704
5.12,421.704
5.16,421.704
5.2,421.704
5.24,421.704
5.28,421.704
5.32,421.704
5.36,421.704
5.4,421.704
5.44,421.704
5.48,421.704
5.52,421.704
5.56,421.704
5.6,421.704
5.64,421.704
5.68,421.704
5.72,421.704
5.76,421.704
5.8,421.704
5.84,421.704
5.88,421.704
5.92,421.704
5.96,421.704
6,421.704
6.04,421.704
